Context,Keyword,Page_Number
"I. PURPOSE: In accordance with NAHASDA 1000.56:

a. Each year, funds shall be paid directly to recipients (Tribe/TDHE) in a manner that recognizes the right of Indian self-determination and tribal self-governance and the trust responsibility of the Federal government to Indian tribes consistent with NAHASDA.

b. Payments shall be made as expeditiously as practicable.
As a federal grant, the NAHASDA funds must comply with the Uniform Guidance requirement cited in 200.302(6), which requires written procedures to implement the requirements of 200.305 Payments. The written procedures on 200.305 Payments are part of the Tribes/TDHE’s Financial Management Policy.

GRANT DRAWDOWN: Recipients of NAHASDA federal grant funds must draw funds following HUD’s specific procedures, with the use of eLOCCS system, which is HUD’s primary grant and subsidy disbursement system that handles disbursement and cash management for the majority of HUD grant programs, including IHBG, ICDBG, and NHHBG funds. Only eligible NAHASDA program expenses are paid with IHBG grant funds.

To access eLOCCS, the Tribe/TDHE must register in Secure Systems to access the eLOCCS online.

1. Submit a HUD-27054 LOCCS Access Authorization form, which will specify the Business Partner(s) and HUD Programs you are authorized to access within eLOCCS. Each eLOCCS user must submit a HUD-27054.

- The form specifies the Business Partner(s) and HUD Programs the user is authorized to access within eLOCCS.
- A Tribe may allow multiple authorized users to query or draw down funds.
- The form is to be approved by the recipient’s or grantee’s Executive Director, Administrator or the President of the Tribe.
- Keep a copy and send a NOTARIZED copy to HUD.

2. HUD – 50080-IHBG: LOCCS/VRS PAYMENT VOUCHER.",APPENDIX 2: PROCEDURES TO IMPLEMENT THE REQUIREMENTS OF 200.305 PAYMENT,21
"In eLOCCS, fill out and transmit form HUD-50080 online to request a grant advance or reimbursement of eligible NAHASDA expenses.",General,22
"To prepare the Payment Voucher and ensure proper documentation:

a. make a list of vendor invoices and amounts to be paid;
b. use the list and copies of the invoices as supporting documentation for the eLOCCS draw; and
c. staple copies of the invoices to the HUD 50080 form that has the total amount requested, and file.",The LOCCS Program Area = IHBG Program Name = INDIAN HOUSING BLOCK GRANT,22
"The NAHASDA program regulations (1000.58) allow Tribes/TDHEs to receive advance payments of their entire IHBG block grant for the purpose of investing grant funds.

1. To be eligible to receive the entire IHBG block grant funds in advance for investment purposes, the Tribe/TDHE must demonstrate to HUD that it has adequate administrative capacity, demonstrated with the following:

a. Annual audits were completed timely and submitted to the Federal Audit Clearinghouse in accordance with 2 CFR 200.512;

b. There are no unresolved significant and/or material monitoring or audit findings or exceptions in the most recent annual audit completed under the Single Audit Act or in an independent financial audit prepared in accordance with generally accepted auditing principles; and

c. It is a self-governance Indian tribe or is a Tribe/TDHE that has demonstrated the administrative capacity and controls to responsibly manage the investment.

2. The Tribe/TDHE’s financial management system must comply with 200.302(b), demonstrated with the following:

a. A written financial management policy;
b. A written investment policy that outlines investments in HUD approved investment vehicles, with maturities of 5 years or less;
c. No outstanding findings as a result of a HUD audit, Inspector General audits, or HUD Monitoring review;",II. ADVANCE IHBG BLOCK GRANT PAYMENT FOR INVESTMENT PURPOSES:,22
"d. No other issues documented by the Area ONAP.

3. Invested IHBG funds must be held in one or more accounts separate from other funds for the Tribe/TDHE. Each investment fund account must be subject to a depository agreement approved by HUD. The Tribe/TDHE shall use the following HUD approved depository agreements:
   a. Form HUD-52736A (11/2013): For investments held in bank accounts;
   b. Form HUD-52736B (11/213): For investments managed by brokers/dealers.

4. The Tribe/TDHE must invest in interest bearing accounts and in eligible investment instruments pursuant to 24 CFR 1000.58, which consist of:
   a. Obligations of the United States;
   b. Obligations issued by Government sponsored agencies;
   c. Securities that are guaranteed or insured by the United States;
   d. Mutual (or other) funds registered with the Securities and Exchange Commission with invest only in obligations of the Unites States or securities that are guaranteed or insured by the United States.

The Tribe/TDHE must also maintain a schedule of investments and should track revenues and earned interest, fees, and maturity dates.

5. Invested advance payments must be insured by the United States or fully collateralized to ensure protection of the funds, even in the event of bank failure. Collateralization shall consist of identifiable U.S. Government securities as prescribed by HUD and specific authority contained in the agreement permitting HUD to exercise its rights pursuant to 24 CFR § 1000.60.

6. The Tribe/TDHE is exempted from maintaining advance payments in interest bearing accounts if:
   a. The Tribe/TDHE receives less than $120,000 in federal awards per year;
   b. The best reasonably available interest-bearing account would not be expected to earn interest in excess of $500 per year;
   c. The depository requires an unreasonably high minimum average or balance for the Tribe/TDHE to maintain.",General,23
"Tribes/TDHEs who are not eligible, or who do not choose to receive payment on their entire IHBG grant funds in advance for investment purposes, may request",III. ADVANCE PAYMENT REQUEST FOR INCURRED EXPENSES:,23
"advance payment via eLOCCS for eligible expenses incurred, but not yet paid for by the Tribe/TDHE. The requests may be made as often as is needed with eLOCCS.

The timing and amount of the advance payments must be as close as is administratively feasible to the actual disbursements by the Tribe/TDHE for eligible program expenses that have been incurred, but not yet paid. To ensure timely distribution of funds, the Tribe/TDHE should request IHBG funds from eLOCCS after invoices have been verified and have been successfully processed and ready for payment. Once the funds are received, the Tribe/TDHE will be able to distribute payment to the vendors right away.",General,24
"The Tribe/TDHE may seek reimbursement for incurred, eligible expenses in two ways:

a. eLOCCS REQUEST FOR EXPENSE REIMBURSEMENT: The Tribe/TDHE may make reimbursement requests through the eLOCCS as often as it needs the funds to reimburse itself for eligible expenses incurred and paid for with available working capital.

b. IHBG INVESTMENT WITHDRAWAL FOR EXPENSE REIMBURSEMENT: If the Tribe has been approved to draw down its entire IHBG funds for investment, it will periodically need to draw from the investment account to pay for the NAHASDA related expenses it has incurred.

c. REIMBURSEMENT PROCEDURES: The Tribe/TDHE general ledger should be set up to account for specific program expenses. On a periodic basis (for example, weekly or monthly) the Finance department runs a schedule of NAHASDA Revenue and Expense report to determine the amount of IHBG grant funds that have been recorded to offset eligible NAHASDA expenses. Because the Tribe/TDHE seeks reimbursement after incurring and recording the program expenses, the difference between the recorded IHBG grant revenues and the recorded total eligible IHBG expenses is the amount of program expenses that the Tribe/TDHE needs to be reimbursed, either through eLOCCS or by drawing down from the IHBG investment account.",IV. REIMBURSEMENT PAYMENTS,24
The Tribe/TDHE is not required to expend retained program income before drawing down or expending IHBG funds. IHBG program income may be used for any housing or related activity and is not subject to other,V. PROGRAM INCOME USE,24
federal regulations. The Tribe/TDHE must account for program income and must report program income on HUD Form 425.,General,25
,APPENDIX 3: ALLOWABLE COSTS POLICY AND PROCEDURES TO IMPLEMENT THE REQUIREMENTS OF 200.302(B)(7),25
"In accordance with NAHASDA regulation at 1000.26, Tribe/TDHE must comply with the requirements of Title 2 CFR 200 Uniform Guidance in regards to the administrative requirements and principles for determining allowable costs applicable to the administration of the IHBG award.

A Tribe/TDHE’s financial management system, in accordance with 200.302(b)(7), must include written procedures for determining the allowability of costs in accordance with Subpart E – Cost Principles. This policy and procedures define the allowable costs on the use of the IHBG grant for the Tribe/TDHE and the sub-recipients. Costs include allowable direct and allocable indirect costs.",I. PURPOSE,25
"Allowable costs are those that:

- are necessary and reasonable;
- are allocable;
- conform to any limitations or exclusions in the IHBG award;
- consistent with policies and procedures;
- follow accounting practices and standards;
- treated consistently throughout the IHBG program;

The Finance Director and program directors are responsible for monitoring the IHBG award and that all costs charged to their program budgets are accurate.",II. DETERMINING ALLOWABLE COSTS,25
"Direct costs are those costs that can be identified specifically with a particular Federal award, such as IHBG, or other internally or externally funded activity, or that can be directly assigned to such activities relatively easily with a high degree of accuracy. Whether a cost is considered Direct or Indirect is determined by the Federal program and what it typically considers to be a direct cost versus indirect costs. The Tribe/TDHE should determine what costs it considers to be a direct cost or indirect cost and apply treatment of those costs consistently.",III. DIRECT COSTS,25
"Indirect Facilities and Administration (F&A) costs are incurred for common or joint objectives and not readily assignable or cannot be identified specifically with a particular project without effort disproportionate to the results achieved.

Typical examples of indirect (F&A) costs for many nonprofit organizations may include depreciation on buildings and equipment, the costs of operating and maintaining the office building, and general administration and general expenses, such as the salaries and expenses of executive officers, personnel administration, and accounting.",IV. INDIRECT (F&A) COSTS:,26
"With respect to the items of costs listed in 2 CFR 200.407 that require prior approval, specific to NAHASDA1000.(b)(1), these costs are allowable without the prior approval of HUD to the extent that they comply with the general policies and principles of 2 CFR 200.

If a TRIBE/TDHE is awarded other federal grants that do not specifically allow written prior approval, the reasonableness and allocability of certain items of costs may be difficult to determine, therefore, in order to avoid subsequent disallowance or dispute based on unreasonableness and unallocability, 200.407 of the Uniform Guidance lists items of costs that the TRIBE/TDHE may seek prior approval in advance of the incurrence of the special or unusual costs.",V. PRIOR WRITTEN APPROVAL (PRIOR APPROVAL),26
"Specific items of costs commonly incurred in the administration of the IHBG award, what are considered allowable, unallowable, or costs that are generally unallowable, but with exceptions, are listed in Subpart E – Cost Principles: General Provisions for Selected Items of Costs from 200-420-200.475. In addition, the TRIBE/TDHE should review HUD’s guidance on items of costs it explicitly disallows under the NAHASDA program, even when the items of costs may be allowed with prior approval.",VI. ALLOWABILITY OF SPECIFIC ITEMS OF COST:,26
